Company,Department,Job Type,Location,Education,Language,Description
EurosHub,Marketing,Social Media Manager (On-Site),"Office # 509, Fifth Floor, Kohistan Tower, Saddar, Rawalpindi",Bachelor's,English,"Develop and implement creative social media strategies
Manage daily content planning, creation, and posting across Facebook, TikTok, Instagram, and LinkedIn
Monitor brand engagement, respond to messages/comments, and foster active online communities
Analyze social media performance, track KPIs, and generate actionable reports
Collaborate with the marketing and design teams
Stay current with social trends and algorithms"
EurosHub,Marketing,SEO Expert (On-Site),"Office # 509, Fifth Floor, Kohistan Tower, Saddar, Rawalpindi",Bachelor's,"English, Urdu","Develop and implement comprehensive SEO strategies
Optimize website structure, content, and metadata
Manage and optimize Google Business Profiles
Conduct keyword research, competitor analysis, and content audits
Diagnose and fix technical SEO issues
Collaborate with design, content, and development teams
Monitor and analyze performance using SEO tools
Stay up-to-date with Google algorithm updates"
EurosHub,Business Development,Business Development Executive,"Office # 509, Fifth Floor, Kohistan Tower, Saddar, Rawalpindi",Bachelor's (Preferred),English (Preferred),"Identify and connect with potential international clients
Conduct virtual meetings, communicate project details, negotiate terms, close deals
Propose compelling proposals and presentations
Build and maintain long-term client relationships
Meet and exceed monthly growth and revenue targets"
Kalsoft,Sales,IT Sales Enterprise,"Dubai / Sharjah / Abu Dhabi / Fujairah, United Arab Emirates",Bachelor's,English,"KalSoft is looking for an experienced Enterprise Sales Account Manager with strong knowledge of Microsoft technologies, ERP/Business Applications, and Automation platforms such as Nintex and Power Platform. The ideal candidate will have a proven track record in IT enterprise sales and the ability to drive revenue through strategic account development. Onsite opportunity for Dubai."
Kalsoft,Sales,IT Sales Enterprise,"Kuwait, Kuwait",Bachelor's,English,"KalSoft is looking for an experienced Enterprise Sales Account Manager with strong knowledge of Microsoft technologies, ERP/Business Applications, and Automation platforms such as Nintex and Power Platform. The ideal candidate will have a proven track record in IT enterprise sales and the ability to drive revenue through strategic account development. Onsite opportunity for Kuwait."
Kalsoft,Sales,IT Sales Enterprise,"Karachi / I+B2:B4slamabad / Lahore, Sindh / Punjab, Pakistan",Bachelor's (Preferred),English,"Seeking a dynamic and visionary Vice President â€“ Sales to lead KalSoftâ€™s sales strategy, business development, and revenue growth across all regions. Proven expertise in enterprise sales within the Microsoft ecosystem, solution-based selling, channel management, and strategic partnerships."
TechAbout,Human Resources,HR Manager,Remote / TechAbout Offices,,English,"Responsible for recruitment, employee engagement, and HR operations across TechAbout."
TechAbout,Content,Content Writer,Remote / TechAbout Offices,,English,"Create high-quality written content for blogs, social media, and marketing campaigns."
TechAbout,Development,WordPress Developer,Remote / TechAbout Offices,,English,"Develop and maintain WordPress websites, themes, and plugins."
TechAbout,Design,Graphic Designer,Remote / TechAbout Offices,,English,"Create visuals for digital marketing, branding, and campaigns."
TechAbout,Marketing,SEO Specialist,Remote / TechAbout Offices,,English,Optimize website content and structure to improve search engine rankings.
TechAbout,Development,Laravel Developer,Remote / TechAbout Offices,,English,Develop backend solutions using Laravel framework and PHP.
TechAbout,Content / Media,Tech Journalist/Reporter,Remote / TechAbout Offices,,English,"Cover tech news, report on innovations, and create tech articles for online publication."
TechAbout,Content,Content Strategist,Remote / TechAbout Offices,,English,Develop and execute content strategies for TechAboutâ€™s digital platforms.
TechAbout,Content,Content Director,Remote / TechAbout Offices,,English,"Oversee all content creation and strategy, managing the content team."
TechAbout,Media / Design,Video Editor,Remote / TechAbout Offices,,English,Edit and produce high-quality videos for marketing and social media.
TechAbout,Marketing,Social Media Manager,Remote / TechAbout Offices,,English,"Manage TechAboutâ€™s social media accounts, strategy, and campaigns."
TechAbout,Development,Web Developer,Remote / TechAbout Offices,,English,"Develop and maintain websites, ensuring functionality and user experience."
trg,Accounting & Admin,Chief Accountant,Vietnam Â· Hybrid,,English,"Responsible for overseeing all accounting operations, financial reporting, and compliance as the primary accounting leader in a hybrid environment in Vietnam."
trg,Marketing,Outbound Lead Specialist,Vietnam Â· Hybrid,,English,Focus on generating new business leads through proactive outbound strategies and nurturing the sales pipeline in a hybrid role based in Vietnam.
trg,Delivery,Technical Consultant,Vietnam Â· Hybrid,,English,"Provide expert technical guidance and support for implementing and optimizing solutions for clients, working in a hybrid capacity in Vietnam."
trg,Delivery,Freelance Application Consultant (Thailand-based),Thailand Â· Hybrid,,English,"Offer specialized, project-based application consulting services to clients in Thailand, utilizing expertise on a freelance and hybrid basis."
trg,Delivery,Application Consultant (with ERP or Financial Accounting software implementation experience),Thailand Â· Hybrid,,English,"Implement and configure complex applications, focusing on clients requiring ERP or Financial Accounting software solutions, based in Thailand with a hybrid arrangement."
trg,Support,Technical Support Executive (Internal & External Support),Vietnam,,English,"Deliver timely and effective technical assistance and troubleshooting for both internal staff and external clients, based full-time in Vietnam."
